Samsung Galaxy A30,"Price in Rs: 40,999    Price in USD: $306
                                                 ",
Build,OS,Android 9.0 (Pie)                                                     
,UI,"
                                                Samsung Experience 9.5                                                 "
,Dimensions,"
                                                158.5 x 74.5 x 7.7 mm                                                 "
,Weight,"
                                                N/A                                                 "
,SIM,"
                                                Dual Sim, Dual Standby (Nano-SIM)                                                 "
,Colors,"
                                                Black, White, Silver, Blue, pink                                                 "
Frequency,2G Band,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900                                                     
,3G Band,"
                                                HSDPA 850 / 900 / 1900 / 2100                                                 "
,4G Band,"
                                                LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 38(2600), 40(2300), 41(2500)                                                 "
Processor,CPU,Octa-core (2 x 1.8 GHz Kryo 260 Gold + 6 x 1.6 GHz Kryo 260 Silver)                                                     
,Chipset,"
                                                Exynos 7904 Octa (14 nm)                                                 "
,GPU,"
                                                Mali-G71 MP2                                                 "
Display,Technology,"Super AMOLED capacitive touchscreen, 16M colors, Multitouch                                                     "
,Size,"
                                                6.4 Inches                                                 "
,Resolution,"
                                                1080 x 2340 Pixels (~403 PPI)                                                 "
,Protection,"
                                                Corning Gorilla Galss (unspecified version)                                                 "
Memory,Built-in,"64GB Built-in, 4GB RAM                                                     "
,Card,"
                                                microSD card (supports up to 512GB) (dedicated slot)                                                 "
Camera,Main,"Dual 16 MP, f/1.9, PDAF + 5 MP, f/2.2, (ultrawide), autofocus,  LED flash, LED Flash                                                     "
,Features,"
                                                Geo-tagging, touch focus, face detection, panorama, HDR, Video (1080p@30fps)                                                 "
,Front,"
                                                16 MP, f/1.9, HDR, Video (1080p@30fps)                                                 "
Connectivity,WLAN,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot                                                     "
,Bluetooth,"
                                                v5.0 with A2DP, LE                                                 "
,GPS,"
                                                Yes + A-GPS support & Glonass, BDS, GALILEO                                                 "
,Radio,"
                                                FM Radio                                                 "
,USB,"
                                                2.0, Type-C 1.0 reversible connector                                                 "
